,Dataset,Cell_type
770,CID007794-1,CD8 SELL Naive
771,CID007794-1,ILC3
772,CID007794-1,MAIT
773,CID007794-1,NK
774,CID007794-1,Proliferating T cells
775,CID007794-1,gd T cell 1
776,CID007794-1,gd T cell 2
777,CID007794-1,GC-like B cell
778,CID007794-1,Memory B cell
779,CID007794-1,Naive B cell
780,CID007794-1,Plasma Cell
781,CID007794-1,Plasmablast
782,CID007794-1,Arterial Pericyte
783,CID007794-1,Blood Endothelial Cell
784,CID007794-1,Fibroblast
785,CID007794-1,Glial Cell
786,CID007794-1,Inflammatory Fibroblast
787,CID007794-1,Myofibroblast
788,CID007794-1,Pericyte
789,CID007794-1,Post-capillary venules
790,CID007794-1,Proliferating Stromal Cell
791,CID007794-1,Smooth Muscle Cell
792,CID007794-1,Enterocyte
793,CID007794-1,Enteroendocrine Cell
794,CID007794-1,Epithelial M Cell
795,CID007794-1,Epithelial Progenitor Cell
796,CID007794-1,Epithelial Stem Cell
797,CID007794-1,Goblet Cell
798,CID007794-1,Tuft Cell
799,CID007796-1,CD209+ moDC
800,CID007796-1,CD83+ CLEC9A+ DC
801,CID007796-1,CD83- CLEC9A+ DC
802,CID007796-1,CLEC10A+ DC
803,CID007796-1,IL7R+ Activated DC
804,CID007796-1,Mast Cell
805,CID007796-1,Memory B cell
806,CID007796-1,Monocyte Inflammatory
807,CID007796-1,Proliferating myeloid
808,CID007796-1,Resident Macrophage
809,CID007796-1,CD4 SELL naive
810,CID007796-1,CD4 TRM
811,CID007796-1,CD4 Tfh
812,CID007796-1,CD4 Th17
813,CID007796-1,CD4 Tph
814,CID007796-1,CD4 Treg
815,CID007796-1,CD8 Effector
816,CID007796-1,CD8 IEL
817,CID007796-1,CD8 SELL Naive
818,CID007796-1,ILC3
819,CID007796-1,MAIT
820,CID007796-1,NK
821,CID007796-1,Proliferating T cells
822,CID007796-1,gd T cell 1
823,CID007796-1,gd T cell 2
824,CID007796-1,GC-like B cell
825,CID007796-1,Memory B cell
826,CID007796-1,Naive B cell
827,CID007796-1,Plasma Cell
828,CID007796-1,Plasmablast
829,CID007796-1,Arterial Pericyte
830,CID007796-1,Blood Endothelial Cell
831,CID007796-1,Fibroblast
832,CID007796-1,Glial Cell
833,CID007796-1,Inflammatory Fibroblast
834,CID007796-1,Myofibroblast
835,CID007796-1,Pericyte
836,CID007796-1,Post-capillary venules
837,CID007796-1,Proliferating Stromal Cell
838,CID007796-1,Smooth Muscle Cell
839,CID007796-1,Enterocyte
840,CID007796-1,Enteroendocrine Cell
841,CID007796-1,Epithelial M Cell
842,CID007796-1,Epithelial Progenitor Cell
843,CID007796-1,Epithelial Stem Cell
844,CID007796-1,Goblet Cell
845,CID007796-1,Tuft Cell
846,CID007798-1,CD209+ moDC
847,CID007798-1,CD83+ CLEC9A+ DC
848,CID007798-1,CD83- CLEC9A+ DC
849,CID007798-1,CLEC10A+ DC
850,CID007798-1,IL7R+ Activated DC
851,CID007798-1,Mast Cell
852,CID007798-1,Memory B cell
853,CID007798-1,Monocyte Inflammatory
854,CID007798-1,Proliferating myeloid
855,CID007798-1,Resident Macrophage
856,CID007798-1,CD4 SELL naive
857,CID007798-1,CD4 TRM
858,CID007798-1,CD4 Tfh
859,CID007798-1,CD4 Th17
860,CID007798-1,CD4 Tph
861,CID007798-1,CD4 Treg
862,CID007798-1,CD8 Effector
863,CID007798-1,CD8 IEL
864,CID007798-1,CD8 SELL Naive
865,CID007798-1,ILC3
866,CID007798-1,MAIT
867,CID007798-1,NK
868,CID007798-1,Proliferating T cells
869,CID007798-1,gd T cell 1
870,CID007798-1,gd T cell 2
871,CID007798-1,GC-like B cell
872,CID007798-1,Memory B cell
873,CID007798-1,Naive B cell
874,CID007798-1,Plasma Cell
875,CID007798-1,Plasmablast
876,CID007798-1,Arterial Pericyte
877,CID007798-1,Blood Endothelial Cell
878,CID007798-1,Fibroblast
879,CID007798-1,Glial Cell
880,CID007798-1,Inflammatory Fibroblast
881,CID007798-1,Myofibroblast
882,CID007798-1,Pericyte
883,CID007798-1,Post-capillary venules
884,CID007798-1,Proliferating Stromal Cell
885,CID007798-1,Smooth Muscle Cell
886,CID007798-1,Enterocyte
887,CID007798-1,Enteroendocrine Cell
888,CID007798-1,Epithelial M Cell
889,CID007798-1,Epithelial Progenitor Cell
890,CID007798-1,Epithelial Stem Cell
891,CID007798-1,Goblet Cell
892,CID007798-1,Tuft Cell
893,CID007800-1,CD209+ moDC
894,CID007800-1,CD83+ CLEC9A+ DC
895,CID007800-1,CD83- CLEC9A+ DC
896,CID007800-1,CLEC10A+ DC
897,CID007800-1,IL7R+ Activated DC
898,CID007800-1,Mast Cell
899,CID007800-1,Memory B cell
900,CID007800-1,Monocyte Inflammatory
901,CID007800-1,Proliferating myeloid
902,CID007800-1,Resident Macrophage
903,CID007800-1,CD4 SELL naive
904,CID007800-1,CD4 TRM
905,CID007800-1,CD4 Tfh
906,CID007800-1,CD4 Th17
907,CID007800-1,CD4 Tph
908,CID007800-1,CD4 Treg
909,CID007800-1,CD8 Effector
910,CID007800-1,CD8 IEL
911,CID007800-1,CD8 SELL Naive
912,CID007800-1,ILC3
913,CID007800-1,MAIT
914,CID007800-1,NK
915,CID007800-1,Proliferating T cells
916,CID007800-1,gd T cell 1
917,CID007800-1,gd T cell 2
918,CID007800-1,GC-like B cell
919,CID007800-1,Memory B cell
920,CID007800-1,Naive B cell
921,CID007800-1,Plasma Cell
922,CID007800-1,Plasmablast
923,CID007800-1,Arterial Pericyte
924,CID007800-1,Blood Endothelial Cell
925,CID007800-1,Fibroblast
926,CID007800-1,Glial Cell
927,CID007800-1,Inflammatory Fibroblast
928,CID007800-1,Myofibroblast
929,CID007800-1,Pericyte
930,CID007800-1,Post-capillary venules
931,CID007800-1,Proliferating Stromal Cell
932,CID007800-1,Smooth Muscle Cell
933,CID007800-1,Enterocyte
934,CID007800-1,Enteroendocrine Cell
935,CID007800-1,Epithelial M Cell
936,CID007800-1,Epithelial Progenitor Cell
937,CID007800-1,Epithelial Stem Cell
938,CID007800-1,Goblet Cell
939,CID007800-1,Tuft Cell
940,CID007802-1,CD209+ moDC
941,CID007802-1,CD83+ CLEC9A+ DC
942,CID007802-1,CD83- CLEC9A+ DC
943,CID007802-1,CLEC10A+ DC
944,CID007802-1,IL7R+ Activated DC
945,CID007802-1,Mast Cell
946,CID007802-1,Memory B cell
947,CID007802-1,Monocyte Inflammatory
948,CID007802-1,Proliferating myeloid
949,CID007802-1,Resident Macrophage
950,CID007802-1,CD4 SELL naive
951,CID007802-1,CD4 TRM
952,CID007802-1,CD4 Tfh
953,CID007802-1,CD4 Th17
954,CID007802-1,CD4 Tph
955,CID007802-1,CD4 Treg
956,CID007802-1,CD8 Effector
957,CID007802-1,CD8 IEL
958,CID007802-1,CD8 SELL Naive
959,CID007802-1,ILC3
960,CID007802-1,MAIT
961,CID007802-1,NK
962,CID007802-1,Proliferating T cells
963,CID007802-1,gd T cell 1
964,CID007802-1,gd T cell 2
965,CID007802-1,GC-like B cell
966,CID007802-1,Memory B cell
967,CID007802-1,Naive B cell
968,CID007802-1,Plasma Cell
969,CID007802-1,Plasmablast
970,CID007802-1,Arterial Pericyte
971,CID007802-1,Blood Endothelial Cell
972,CID007802-1,Fibroblast
973,CID007802-1,Glial Cell
974,CID007802-1,Inflammatory Fibroblast
975,CID007802-1,Myofibroblast
976,CID007802-1,Pericyte
977,CID007802-1,Post-capillary venules
978,CID007802-1,Proliferating Stromal Cell
979,CID007802-1,Smooth Muscle Cell
980,CID007802-1,Enterocyte
981,CID007802-1,Enteroendocrine Cell
982,CID007802-1,Epithelial M Cell
983,CID007802-1,Epithelial Progenitor Cell
984,CID007802-1,Epithelial Stem Cell
985,CID007802-1,Goblet Cell
986,CID007802-1,Tuft Cell
987,CID007804-1,CD209+ moDC
988,CID007804-1,CD83+ CLEC9A+ DC
989,CID007804-1,CD83- CLEC9A+ DC
990,CID007804-1,CLEC10A+ DC
991,CID007804-1,IL7R+ Activated DC
992,CID007804-1,Mast Cell
993,CID007804-1,Memory B cell
994,CID007804-1,Monocyte Inflammatory
995,CID007804-1,Proliferating myeloid
996,CID007804-1,Resident Macrophage
997,CID007804-1,CD4 SELL naive
998,CID007804-1,CD4 TRM
999,CID007804-1,CD4 Tfh
1000,CID007804-1,CD4 Th17
1001,CID007804-1,CD4 Tph
1002,CID007804-1,CD4 Treg
1003,CID007804-1,CD8 Effector
1004,CID007804-1,CD8 IEL
1005,CID007804-1,CD8 SELL Naive
1006,CID007804-1,ILC3
1007,CID007804-1,MAIT
1008,CID007804-1,NK
1009,CID007804-1,Proliferating T cells
1010,CID007804-1,gd T cell 1
1011,CID007804-1,gd T cell 2
1012,CID007804-1,GC-like B cell
1013,CID007804-1,Memory B cell
1014,CID007804-1,Naive B cell
1015,CID007804-1,Plasma Cell
1016,CID007804-1,Plasmablast
1017,CID007804-1,Arterial Pericyte
1018,CID007804-1,Blood Endothelial Cell
1019,CID007804-1,Fibroblast
1020,CID007804-1,Glial Cell
1021,CID007804-1,Inflammatory Fibroblast
1022,CID007804-1,Myofibroblast
1023,CID007804-1,Pericyte
1024,CID007804-1,Post-capillary venules
1025,CID007804-1,Proliferating Stromal Cell
1026,CID007804-1,Smooth Muscle Cell
1027,CID007804-1,Enterocyte
1028,CID007804-1,Enteroendocrine Cell
1029,CID007804-1,Epithelial M Cell
1030,CID007804-1,Epithelial Progenitor Cell
1031,CID007804-1,Epithelial Stem Cell
1032,CID007804-1,Goblet Cell
1033,CID007804-1,Tuft Cell
1034,CID008392-1,CD209+ moDC
1035,CID008392-1,CD83+ CLEC9A+ DC
1036,CID008392-1,CD83- CLEC9A+ DC
1037,CID008392-1,CLEC10A+ DC
1038,CID008392-1,IL7R+ Activated DC
1039,CID008392-1,Mast Cell
1040,CID008392-1,Memory B cell
1041,CID008392-1,Monocyte Inflammatory
1042,CID008392-1,Proliferating myeloid
1043,CID008392-1,Resident Macrophage
1044,CID008392-1,CD4 SELL naive
1045,CID008392-1,CD4 TRM
1046,CID008392-1,CD4 Tfh
1047,CID008392-1,CD4 Th17
1048,CID008392-1,CD4 Tph
1049,CID008392-1,CD4 Treg
1050,CID008392-1,CD8 Effector
1051,CID008392-1,CD8 IEL
1052,CID008392-1,CD8 SELL Naive
1053,CID008392-1,ILC3
1054,CID008392-1,MAIT
1055,CID008392-1,NK
1056,CID008392-1,Proliferating T cells
1057,CID008392-1,gd T cell 1
1058,CID008392-1,gd T cell 2
1059,CID008392-1,GC-like B cell
1060,CID008392-1,Memory B cell
1061,CID008392-1,Naive B cell
1062,CID008392-1,Plasma Cell
1063,CID008392-1,Plasmablast
1064,CID008392-1,Arterial Pericyte
1065,CID008392-1,Blood Endothelial Cell
1066,CID008392-1,Fibroblast
1067,CID008392-1,Glial Cell
1068,CID008392-1,Inflammatory Fibroblast
1069,CID008392-1,Myofibroblast
1070,CID008392-1,Pericyte
1071,CID008392-1,Post-capillary venules
1072,CID008392-1,Proliferating Stromal Cell
1073,CID008392-1,Smooth Muscle Cell
1074,CID008392-1,Enterocyte
1075,CID008392-1,Enteroendocrine Cell
1076,CID008392-1,Epithelial M Cell
1077,CID008392-1,Epithelial Progenitor Cell
1078,CID008392-1,Epithelial Stem Cell
1079,CID008392-1,Goblet Cell
1080,CID008392-1,Tuft Cell
1081,CID008394-1,CD209+ moDC
1082,CID008394-1,CD83+ CLEC9A+ DC
1083,CID008394-1,CD83- CLEC9A+ DC
1084,CID008394-1,CLEC10A+ DC
1085,CID008394-1,IL7R+ Activated DC
1086,CID008394-1,Mast Cell
1087,CID008394-1,Memory B cell
1088,CID008394-1,Monocyte Inflammatory
1089,CID008394-1,Proliferating myeloid
1090,CID008394-1,Resident Macrophage
1091,CID008394-1,CD4 SELL naive
1092,CID008394-1,CD4 TRM
1093,CID008394-1,CD4 Tfh
1094,CID008394-1,CD4 Th17
1095,CID008394-1,CD4 Tph
1096,CID008394-1,CD4 Treg
1097,CID008394-1,CD8 Effector
1098,CID008394-1,CD8 IEL
1099,CID008394-1,CD8 SELL Naive
1100,CID008394-1,ILC3
1101,CID008394-1,MAIT
1102,CID008394-1,NK
1103,CID008394-1,Proliferating T cells
1104,CID008394-1,gd T cell 1
1105,CID008394-1,gd T cell 2
1106,CID008394-1,GC-like B cell
1107,CID008394-1,Memory B cell
1108,CID008394-1,Naive B cell
1109,CID008394-1,Plasma Cell
1110,CID008394-1,Plasmablast
1111,CID008394-1,Arterial Pericyte
1112,CID008394-1,Blood Endothelial Cell
1113,CID008394-1,Fibroblast
1114,CID008394-1,Glial Cell
1115,CID008394-1,Inflammatory Fibroblast
1116,CID008394-1,Myofibroblast
1117,CID008394-1,Pericyte
1118,CID008394-1,Post-capillary venules
1119,CID008394-1,Proliferating Stromal Cell
1120,CID008394-1,Smooth Muscle Cell
1121,CID008394-1,Enterocyte
1122,CID008394-1,Enteroendocrine Cell
1123,CID008394-1,Epithelial M Cell
1124,CID008394-1,Epithelial Progenitor Cell
1125,CID008394-1,Epithelial Stem Cell
1126,CID008394-1,Goblet Cell
1127,CID008394-1,Tuft Cell
1128,CID008396-1,CD209+ moDC
1129,CID008396-1,CD83+ CLEC9A+ DC
1130,CID008396-1,CD83- CLEC9A+ DC
1131,CID008396-1,CLEC10A+ DC
1132,CID008396-1,IL7R+ Activated DC
1133,CID008396-1,Mast Cell
1134,CID008396-1,Memory B cell
1135,CID008396-1,Monocyte Inflammatory
1136,CID008396-1,Proliferating myeloid
1137,CID008396-1,Resident Macrophage
1138,CID008396-1,CD4 SELL naive
1139,CID008396-1,CD4 TRM
1140,CID008396-1,CD4 Tfh
1141,CID008396-1,CD4 Th17
1142,CID008396-1,CD4 Tph
1143,CID008396-1,CD4 Treg
1144,CID008396-1,CD8 Effector
1145,CID008396-1,CD8 IEL
1146,CID008396-1,CD8 SELL Naive
1147,CID008396-1,ILC3
1148,CID008396-1,MAIT
1149,CID008396-1,NK
1150,CID008396-1,Proliferating T cells
1151,CID008396-1,gd T cell 1
1152,CID008396-1,gd T cell 2
1153,CID008396-1,GC-like B cell
1154,CID008396-1,Memory B cell
1155,CID008396-1,Naive B cell
1156,CID008396-1,Plasma Cell
1157,CID008396-1,Plasmablast
1158,CID008396-1,Arterial Pericyte
1159,CID008396-1,Blood Endothelial Cell
1160,CID008396-1,Fibroblast
1161,CID008396-1,Glial Cell
1162,CID008396-1,Inflammatory Fibroblast
1163,CID008396-1,Myofibroblast
1164,CID008396-1,Pericyte
1165,CID008396-1,Post-capillary venules
1166,CID008396-1,Proliferating Stromal Cell
1167,CID008396-1,Smooth Muscle Cell
1168,CID008396-1,Enterocyte
1169,CID008396-1,Enteroendocrine Cell
1170,CID008396-1,Epithelial M Cell
1171,CID008396-1,Epithelial Progenitor Cell
1172,CID008396-1,Epithelial Stem Cell
1173,CID008396-1,Goblet Cell
1174,CID008396-1,Tuft Cell
1175,CID008398-1,CD209+ moDC
1176,CID008398-1,CD83+ CLEC9A+ DC
1177,CID008398-1,CD83- CLEC9A+ DC
1178,CID008398-1,CLEC10A+ DC
1179,CID008398-1,IL7R+ Activated DC
1180,CID008398-1,Mast Cell
1181,CID008398-1,Memory B cell
1182,CID008398-1,Monocyte Inflammatory
1183,CID008398-1,Proliferating myeloid
1184,CID008398-1,Resident Macrophage
1185,CID008398-1,CD4 SELL naive
1186,CID008398-1,CD4 TRM
1187,CID008398-1,CD4 Tfh
1188,CID008398-1,CD4 Th17
1189,CID008398-1,CD4 Tph
1190,CID008398-1,CD4 Treg
1191,CID008398-1,CD8 Effector
1192,CID008398-1,CD8 IEL
1193,CID008398-1,CD8 SELL Naive
1194,CID008398-1,ILC3
1195,CID008398-1,MAIT
1196,CID008398-1,NK
1197,CID008398-1,Proliferating T cells
1198,CID008398-1,gd T cell 1
1199,CID008398-1,gd T cell 2
1200,CID008398-1,GC-like B cell
1201,CID008398-1,Memory B cell
1202,CID008398-1,Naive B cell
1203,CID008398-1,Plasma Cell
1204,CID008398-1,Plasmablast
1205,CID008398-1,Arterial Pericyte
1206,CID008398-1,Blood Endothelial Cell
1207,CID008398-1,Fibroblast
1208,CID008398-1,Glial Cell
1209,CID008398-1,Inflammatory Fibroblast
1210,CID008398-1,Myofibroblast
1211,CID008398-1,Pericyte
1212,CID008398-1,Post-capillary venules
1213,CID008398-1,Proliferating Stromal Cell
1214,CID008398-1,Smooth Muscle Cell
1215,CID008398-1,Enterocyte
1216,CID008398-1,Enteroendocrine Cell
1217,CID008398-1,Epithelial M Cell
1218,CID008398-1,Epithelial Progenitor Cell
1219,CID008398-1,Epithelial Stem Cell
1220,CID008398-1,Goblet Cell
1221,CID008398-1,Tuft Cell
1222,CID008400-1,CD209+ moDC
1223,CID008400-1,CD83+ CLEC9A+ DC
1224,CID008400-1,CD83- CLEC9A+ DC
1225,CID008400-1,CLEC10A+ DC
1226,CID008400-1,IL7R+ Activated DC
1227,CID008400-1,Mast Cell
1228,CID008400-1,Memory B cell
1229,CID008400-1,Monocyte Inflammatory
1230,CID008400-1,Proliferating myeloid
1231,CID008400-1,Resident Macrophage
1232,CID008400-1,CD4 SELL naive
1233,CID008400-1,CD4 TRM
1234,CID008400-1,CD4 Tfh
1235,CID008400-1,CD4 Th17
1236,CID008400-1,CD4 Tph
1237,CID008400-1,CD4 Treg
1238,CID008400-1,CD8 Effector
1239,CID008400-1,CD8 IEL
1240,CID008400-1,CD8 SELL Naive
1241,CID008400-1,ILC3
1242,CID008400-1,MAIT
1243,CID008400-1,NK
1244,CID008400-1,Proliferating T cells
1245,CID008400-1,gd T cell 1
1246,CID008400-1,gd T cell 2
1247,CID008400-1,GC-like B cell
1248,CID008400-1,Memory B cell
1249,CID008400-1,Naive B cell
1250,CID008400-1,Plasma Cell
1251,CID008400-1,Plasmablast
1252,CID008400-1,Arterial Pericyte
1253,CID008400-1,Blood Endothelial Cell
1254,CID008400-1,Fibroblast
1255,CID008400-1,Glial Cell
1256,CID008400-1,Inflammatory Fibroblast
1257,CID008400-1,Myofibroblast
1258,CID008400-1,Pericyte
1259,CID008400-1,Post-capillary venules
1260,CID008400-1,Proliferating Stromal Cell
1261,CID008400-1,Smooth Muscle Cell
1262,CID008400-1,Enterocyte
1263,CID008400-1,Enteroendocrine Cell
1264,CID008400-1,Epithelial M Cell
1265,CID008400-1,Epithelial Progenitor Cell
1266,CID008400-1,Epithelial Stem Cell
1267,CID008400-1,Goblet Cell
1268,CID008400-1,Tuft Cell
1269,CID008402-1,CD209+ moDC
1270,CID008402-1,CD83+ CLEC9A+ DC
1271,CID008402-1,CD83- CLEC9A+ DC
1272,CID008402-1,CLEC10A+ DC
1273,CID008402-1,IL7R+ Activated DC
1274,CID008402-1,Mast Cell
1275,CID008402-1,Memory B cell
1276,CID008402-1,Monocyte Inflammatory
1277,CID008402-1,Proliferating myeloid
1278,CID008402-1,Resident Macrophage
1279,CID008402-1,CD4 SELL naive
1280,CID008402-1,CD4 TRM
1281,CID008402-1,CD4 Tfh
1282,CID008402-1,CD4 Th17
1283,CID008402-1,CD4 Tph
1284,CID008402-1,CD4 Treg
1285,CID008402-1,CD8 Effector
1286,CID008402-1,CD8 IEL
1287,CID008402-1,CD8 SELL Naive
1288,CID008402-1,ILC3
1289,CID008402-1,MAIT
1290,CID008402-1,NK
1291,CID008402-1,Proliferating T cells
1292,CID008402-1,gd T cell 1
1293,CID008402-1,gd T cell 2
1294,CID008402-1,GC-like B cell
1295,CID008402-1,Memory B cell
1296,CID008402-1,Naive B cell
1297,CID008402-1,Plasma Cell
1298,CID008402-1,Plasmablast
1299,CID008402-1,Arterial Pericyte
1300,CID008402-1,Blood Endothelial Cell
1301,CID008402-1,Fibroblast
1302,CID008402-1,Glial Cell
1303,CID008402-1,Inflammatory Fibroblast
1304,CID008402-1,Myofibroblast
1305,CID008402-1,Pericyte
1306,CID008402-1,Post-capillary venules
1307,CID008402-1,Proliferating Stromal Cell
1308,CID008402-1,Smooth Muscle Cell
1309,CID008402-1,Enterocyte
1310,CID008402-1,Enteroendocrine Cell
1311,CID008402-1,Epithelial M Cell
1312,CID008402-1,Epithelial Progenitor Cell
1313,CID008402-1,Epithelial Stem Cell
1314,CID008402-1,Goblet Cell
1315,CID008402-1,Tuft Cell
1316,CID008404-1,CD209+ moDC
1317,CID008404-1,CD83+ CLEC9A+ DC
1318,CID008404-1,CD83- CLEC9A+ DC
1319,CID008404-1,CLEC10A+ DC
1320,CID008404-1,IL7R+ Activated DC
1321,CID008404-1,Mast Cell
1322,CID008404-1,Memory B cell
1323,CID008404-1,Monocyte Inflammatory
1324,CID008404-1,Proliferating myeloid
1325,CID008404-1,Resident Macrophage
1326,CID008404-1,CD4 SELL naive
1327,CID008404-1,CD4 TRM
1328,CID008404-1,CD4 Tfh
1329,CID008404-1,CD4 Th17
1330,CID008404-1,CD4 Tph
1331,CID008404-1,CD4 Treg
1332,CID008404-1,CD8 Effector
1333,CID008404-1,CD8 IEL
1334,CID008404-1,CD8 SELL Naive
1335,CID008404-1,ILC3
1336,CID008404-1,MAIT
1337,CID008404-1,NK
1338,CID008404-1,Proliferating T cells
1339,CID008404-1,gd T cell 1
1340,CID008404-1,gd T cell 2
1341,CID008404-1,GC-like B cell
1342,CID008404-1,Memory B cell
1343,CID008404-1,Naive B cell
1344,CID008404-1,Plasma Cell
1345,CID008404-1,Plasmablast
1346,CID008404-1,Arterial Pericyte
1347,CID008404-1,Blood Endothelial Cell
1348,CID008404-1,Fibroblast
1349,CID008404-1,Glial Cell
1350,CID008404-1,Inflammatory Fibroblast
1351,CID008404-1,Myofibroblast
1352,CID008404-1,Pericyte
1353,CID008404-1,Post-capillary venules
1354,CID008404-1,Proliferating Stromal Cell
1355,CID008404-1,Smooth Muscle Cell
1356,CID008404-1,Enterocyte
1357,CID008404-1,Enteroendocrine Cell
1358,CID008404-1,Epithelial M Cell
1359,CID008404-1,Epithelial Progenitor Cell
1360,CID008404-1,Epithelial Stem Cell
1361,CID008404-1,Goblet Cell
1362,CID008404-1,Tuft Cell
1363,CID008406-1,CD209+ moDC
1364,CID008406-1,CD83+ CLEC9A+ DC
1365,CID008406-1,CD83- CLEC9A+ DC
1366,CID008406-1,CLEC10A+ DC
1367,CID008406-1,IL7R+ Activated DC
1368,CID008406-1,Mast Cell
1369,CID008406-1,Memory B cell
1370,CID008406-1,Monocyte Inflammatory
1371,CID008406-1,Proliferating myeloid
1372,CID008406-1,Resident Macrophage
1373,CID008406-1,CD4 SELL naive
1374,CID008406-1,CD4 TRM
1375,CID008406-1,CD4 Tfh
1376,CID008406-1,CD4 Th17
1377,CID008406-1,CD4 Tph
1378,CID008406-1,CD4 Treg
1379,CID008406-1,CD8 Effector
1380,CID008406-1,CD8 IEL
1381,CID008406-1,CD8 SELL Naive
1382,CID008406-1,ILC3
1383,CID008406-1,MAIT
1384,CID008406-1,NK
1385,CID008406-1,Proliferating T cells
1386,CID008406-1,gd T cell 1
1387,CID008406-1,gd T cell 2
1388,CID008406-1,GC-like B cell
1389,CID008406-1,Memory B cell
1390,CID008406-1,Naive B cell
1391,CID008406-1,Plasma Cell
1392,CID008406-1,Plasmablast
1393,CID008406-1,Arterial Pericyte
1394,CID008406-1,Blood Endothelial Cell
1395,CID008406-1,Fibroblast
1396,CID008406-1,Glial Cell
1397,CID008406-1,Inflammatory Fibroblast
1398,CID008406-1,Myofibroblast
1399,CID008406-1,Pericyte
1400,CID008406-1,Post-capillary venules
1401,CID008406-1,Proliferating Stromal Cell
1402,CID008406-1,Smooth Muscle Cell
1403,CID008406-1,Enterocyte
1404,CID008406-1,Enteroendocrine Cell
1405,CID008406-1,Epithelial M Cell
1406,CID008406-1,Epithelial Progenitor Cell
1407,CID008406-1,Epithelial Stem Cell
1408,CID008406-1,Goblet Cell
1409,CID008406-1,Tuft Cell
1410,CID005093-1,CD209+ moDC
1411,CID005093-1,CD83+ CLEC9A+ DC
1412,CID005093-1,CD83- CLEC9A+ DC
1413,CID005093-1,CLEC10A+ DC
1414,CID005093-1,IL7R+ Activated DC
1415,CID005093-1,Mast Cell
1416,CID005093-1,Memory B cell
1417,CID005093-1,Monocyte Inflammatory
1418,CID005093-1,Proliferating myeloid
1419,CID005093-1,Resident Macrophage
1420,CID005093-1,CD4 SELL naive
1421,CID005093-1,CD4 TRM
1422,CID005093-1,CD4 Tfh
1423,CID005093-1,CD4 Th17
1424,CID005093-1,CD4 Tph
1425,CID005093-1,CD4 Treg
1426,CID005093-1,CD8 Effector
1427,CID005093-1,CD8 IEL
1428,CID005093-1,CD8 SELL Naive
1429,CID005093-1,ILC3
1430,CID005093-1,MAIT
1431,CID005093-1,NK
1432,CID005093-1,Proliferating T cells
1433,CID005093-1,gd T cell 1
1434,CID005093-1,gd T cell 2
1435,CID005093-1,GC-like B cell
1436,CID005093-1,Memory B cell
1437,CID005093-1,Naive B cell
1438,CID005093-1,Plasma Cell
1439,CID005093-1,Plasmablast
1440,CID005093-1,Arterial Pericyte
1441,CID005093-1,Blood Endothelial Cell
1442,CID005093-1,Fibroblast
1443,CID005093-1,Glial Cell
1444,CID005093-1,Inflammatory Fibroblast
1445,CID005093-1,Myofibroblast
1446,CID005093-1,Pericyte
1447,CID005093-1,Post-capillary venules
1448,CID005093-1,Proliferating Stromal Cell
1449,CID005093-1,Smooth Muscle Cell
1450,CID005093-1,Enterocyte
1451,CID005093-1,Enteroendocrine Cell
1452,CID005093-1,Epithelial M Cell
1453,CID005093-1,Epithelial Progenitor Cell
1454,CID005093-1,Epithelial Stem Cell
1455,CID005093-1,Goblet Cell
1456,CID005093-1,Tuft Cell
1457,CID005215-1,CD209+ moDC
1458,CID005215-1,CD83+ CLEC9A+ DC
1459,CID005215-1,CD83- CLEC9A+ DC
1460,CID005215-1,CLEC10A+ DC
1461,CID005215-1,IL7R+ Activated DC
1462,CID005215-1,Mast Cell
