,Tumor_model_annot,Blood_model_annot,Dataset
SRX3263463,CD8_T_cells,CD8_T_cells,GSE104744
SRX3644633,T_cells,T_cells,GSE110097
SRX3185022,CD4_T_cells,CD4_T_cells,GSE103844
SRX656159,,Granulocytes,GSE59528
SRX6727410,,Monocytes,GSE135902
SRX5806670,,CD4_T_cells,GSE130882
SRX1782042,Plasma_B_cells,Plasma_B_cells,GSE81443
SRX6727424,,Monocytes,GSE135902
SRX4677057,CD8_T_cells,CD8_T_cells,GSE119918
SRX375695,CD4_T_cells,CD4_T_cells,GSE52260
ERX2283320,,CD4_T_cells,E-MTAB-6370
SRX2833985,NK_cells,NK_cells,GSE99068
SRX1571009,NK_cells,NK_cells,GSE77808
SRX2321305,,PDC,GSE89442
SRX3184887,CD4_T_cells,CD4_T_cells,GSE103844
SRX5806655,,CD4_T_cells,GSE130882
SRX5236169,T_cells,T_cells,GSE124876
SRX5214056,CD4_T_cells,CD4_T_cells,GSE124757
SRX3298790,Myeloid_cells,Myeloid_cells,GSE105142
SRX5162216,Monocytes,Monocytes,GSE124073
SRX4505731,,CD4_T_cells,GSE118094
SRX3848494,CD4_T_cells,CD4_T_cells,GSE112341
SRX2458665,,CD8_T_cells,GSE83637
SRX3733723,Non_plasma_B_cells,Non_plasma_B_cells,GSE110999
SRX3263407,CD4_T_cells,CD4_T_cells,GSE104744
SRX1903069,,Neutrophils,GSE84153
SRX3932287,CD8_T_cells,CD8_T_cells,GSE113098
SRX4732972,T_cells,T_cells,GSE120364
SRX4374828,CD8_T_cells,CD8_T_cells,GSE116865
SRX372047,Non_plasma_B_cells,Non_plasma_B_cells,GSE51984
SRX1903073,,Neutrophils,GSE84153
SRX6404761,,Monocytes,GSE133822
SRX4044489,CD4_T_cells,CD4_T_cells,GSE114065
SRX4044483,CD4_T_cells,CD4_T_cells,GSE114065
ERX1958881,Non_plasma_B_cells,Non_plasma_B_cells,E-MTAB-5616
SRX7052842,,Neutrophils,GSE139358
SRX3185039,CD4_T_cells,CD4_T_cells,GSE103844
SRX5572935,,CD4_T_cells,GSE128822
SRX4797298,Neutrophils,Neutrophils,GSE112101
SRX5686090,CD4_T_cells,CD4_T_cells,GSE129829
SRX6404628,,Monocytes,GSE133822
SRX3185030,CD4_T_cells,CD4_T_cells,GSE103844
SRX3678136,CD4_T_cells,CD4_T_cells,GSE110417
ERX2283332,,CD8_T_cells,E-MTAB-6370
SRX6404582,,CD8_T_cells,GSE133822
SRX5162181,Monocytes,Monocytes,GSE124073
SRX3184995,CD4_T_cells,CD4_T_cells,GSE103844
SRX5702683,,Monocytes,GSE129935
SRX3263475,CD8_T_cells,CD8_T_cells,GSE104744
SRX2271079,,CD4_T_cells,GSE89225
SRX1066937,Neutrophils,Neutrophils,GSE70068
SRX5702690,,Monocytes,GSE129935
SRX1903080,,Neutrophils,GSE84153
SRX2633228,Tregs,CD4_T_cells,GSE96075
SRX4203012,Monocytes,Monocytes,GSE115736
SRX3184913,CD4_T_cells,CD4_T_cells,GSE103844
SRX6457086,,CD4_T_cells,GSE134416
SRX5775861,,CD4_T_cells,GSE130580
SRX3263406,CD4_T_cells,CD4_T_cells,GSE104744
SRX2200774,,CD4_T_cells,GSE87505
SRX865093,CD4_T_cells,CD4_T_cells,GSE65621
SRX3678129,CD4_T_cells,CD4_T_cells,GSE110417
SRX375675,CD4_T_cells,CD4_T_cells,GSE52260
SRX3702486,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110669
SRX3184890,CD4_T_cells,CD4_T_cells,GSE103844
SRX3263525,Monocytes,Monocytes,GSE104744
SRX2370305,Tregs,CD4_T_cells,GSE90468
SRX828396,NK_cells,NK_cells,GSE64655
SRX1950678,,CD8_T_cells,GSE84445
SRX2635633,Tregs,CD4_T_cells,GSE96538
SRX3185055,CD4_T_cells,CD4_T_cells,GSE103844
SRX6369352,,NK_cells,GSE133383
SRX2378929,Tregs,CD4_T_cells,GSE90569
SRX4161196,CD8_T_cells,CD8_T_cells,GSE115305
SRX3263509,Monocytes,Monocytes,GSE104744
SRX4161197,CD8_T_cells,CD8_T_cells,GSE115305
SRX4456904,CD4_T_cells,CD4_T_cells,GSE117655
SRX4203010,,Eosinophils,GSE115736
SRX5162234,Monocytes,Monocytes,GSE124073
SRX5686036,CD4_T_cells,CD4_T_cells,GSE129829
SRX1950681,,CD4_T_cells,GSE84445
SRX1433442,Monocytes,Monocytes,GSE75042
SRX5423531,NK_cells,NK_cells,GSE127081
SRX4456909,CD4_T_cells,CD4_T_cells,GSE117655
SRX680635,Neutrophils,Neutrophils,GSE60424
SRX2416670,,Granulocytes,GSE92293
SRX680628,Neutrophils,Neutrophils,GSE60424
SRX3399298,Monocytes,Classical_monocytes,GSE107011
SRX5686021,CD4_T_cells,CD4_T_cells,GSE129829
SRX2585456,B_cells,B_cells,GSE95282
SRX5686022,CD4_T_cells,CD4_T_cells,GSE129829
SRX2271036,,CD4_T_cells,GSE89225
SRX4518766,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX1130209,,CD4_T_cells,GSE71645
SRX5028403,T_helpers,CD4_T_cells,GSE122735
SRX3049463,CD4_T_cells,CD4_T_cells,GSE102045
SRX2585748,CD4_T_cells,CD4_T_cells,GSE95297
SRX6404583,,CD8_T_cells,GSE133822
SRX2264064,Monocytes,Monocytes,GSE89323
SRX680565,CD4_T_cells,CD4_T_cells,GSE60424
SRX2558448,T_helpers,CD4_T_cells,GSE94859
SRX1921646,,PDC,GSE84204
SRX6077947,Non_plasma_B_cells,B_cells,GSE132835
SRX3263490,CD8_T_cells,CD8_T_cells,GSE104744
SRX3630227,CD8_T_cells,CD8_T_cells,GSE109841
SRX1571036,NK_cells,NK_cells,GSE77808
SRX6404693,,CD4_T_cells,GSE133822
SRX5656677,CD4_T_cells,CD4_T_cells,GSE129522
ERX397886,CD8_T_cells,CD8_T_cells,E-MTAB-2319
SRX5162193,Monocytes,Monocytes,GSE124073
SRX4978133,CD8_T_cells,CD8_T_cells,GSE122149
SRX4453807,NK_cells,NK_cells,GSE117614
SRX2875336,CD8_T_cells,CD8_T_cells,GSE99531
SRX375694,CD4_T_cells,CD4_T_cells,GSE52260
SRX3680684,Tregs,CD4_T_cells,GSE110469
SRX5423529,NK_cells,NK_cells,GSE127081
SRX4797323,Non_plasma_B_cells,B_cells,GSE112101
SRX3184919,CD4_T_cells,CD4_T_cells,GSE103844
SRX4453808,NK_cells,NK_cells,GSE117614
SRX749882,CD4_T_cells,CD4_T_cells,GSE62920
SRX4797296,Neutrophils,Neutrophils,GSE112101
SRX5572932,,CD4_T_cells,GSE128822
SRX2271049,,CD4_T_cells,GSE89225
SRX5162177,Monocytes,Monocytes,GSE124073
SRX7142041,CD8_T_cells_PD1_high,CD8_T_cells,GSE140430
SRX5686092,CD4_T_cells,CD4_T_cells,GSE129829
SRX4044501,CD4_T_cells,CD4_T_cells,GSE114065
SRX2378928,CD4_T_cells,CD4_T_cells,GSE90569
SRX2378893,Tregs,CD4_T_cells,GSE90569
SRX4044499,CD4_T_cells,CD4_T_cells,GSE114065
SRX3399266,Monocytes,Non_classical_monocytes,GSE107011
SRX3100168,,T_cells,GSE102751
SRX3263464,CD8_T_cells,CD8_T_cells,GSE104744
SRX4518779,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX5624313,,T_cells,GSE129196
SRX865100,CD4_T_cells,CD4_T_cells,GSE65621
SRX3678141,CD4_T_cells,CD4_T_cells,GSE110417
SRX680589,CD4_T_cells,CD4_T_cells,GSE60424
SRX3049455,CD4_T_cells,CD4_T_cells,GSE102045
SRX5656682,CD4_T_cells,CD4_T_cells,GSE129522
SRX1837271,Plasma_B_cells,Plasma_B_cells,GSE81443
SRX7052811,,Neutrophils,GSE139358
SRX6727401,,Monocytes,GSE135902
SRX680610,CD4_T_cells,CD4_T_cells,GSE60424
SRX2532736,CD4_T_cells,CD4_T_cells,GSE94396
SRX2558436,T_helpers,CD4_T_cells,GSE94859
SRX3263532,Monocytes,Monocytes,GSE104744
SRX3630222,CD8_T_cells,CD8_T_cells,GSE109841
SRX4074932,Monocytes,Monocytes,GSE114407
SRX5775864,,CD4_T_cells,GSE130580
SRX4075052,Monocytes,Monocytes,GSE114407
SRX865098,CD4_T_cells,CD4_T_cells,GSE65621
SRX3263491,CD8_T_cells,CD8_T_cells,GSE104744
SRX2532722,CD4_T_cells,CD4_T_cells,GSE94396
SRX2378889,CD4_T_cells,CD4_T_cells,GSE90569
SRX828414,Monocytes,Monocytes,GSE64655
SRX3410732,CD8_T_cells_PD1_high,CD8_T_cells,GSE100860
SRX2200818,,CD4_T_cells,GSE87505
SRX5686079,CD4_T_cells,CD4_T_cells,GSE129829
SRX4797305,CD4_T_cells,CD4_T_cells,GSE112101
SRX4518790,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX2875318,CD8_T_cells,CD8_T_cells,GSE99531
SRX2532735,CD4_T_cells,CD4_T_cells,GSE94396
SRX3678140,CD4_T_cells,CD4_T_cells,GSE110417
SRX4044604,CD4_T_cells,CD4_T_cells,GSE114065
SRX6077944,Non_plasma_B_cells,B_cells,GSE132835
SRX2321311,,PDC,GSE89442
SRX6727408,,Monocytes,GSE135902
SRX4495362,Monocytes,Monocytes,GSE117970
SRX2953996,Non_plasma_B_cells,B_cells,GSE100441
SRX7052849,,Neutrophils,GSE139358
SRX5128313,Neutrophils,Neutrophils,GSE123785
SRX4599895,CD4_T_cells,CD4_T_cells,GSE118951
SRX2200801,,CD4_T_cells,GSE87505
SRX4603402,T_helpers,CD4_T_cells,GSE118974
SRX2267395,CD8_T_cells,CD8_T_cells,GSE89134
SRX6404598,,Monocytes,GSE133822
SRX6404659,,CD4_T_cells,GSE133822
SRX6404643,,CD4_T_cells,GSE133822
SRX3140242,Neutrophils,Neutrophils,GSE103170
SRX2831279,Non_plasma_B_cells,Non_plasma_B_cells,GSE99006
SRX4456891,CD4_T_cells,CD4_T_cells,GSE117655
SRX1130219,,CD4_T_cells,GSE71645
SRX3184928,CD4_T_cells,CD4_T_cells,GSE103844
SRX2532685,CD4_T_cells,CD4_T_cells,GSE94396
SRX2635608,CD4_T_cells,CD4_T_cells,GSE96538
SRX6457055,,CD4_T_cells,GSE134416
SRX4044578,CD4_T_cells,CD4_T_cells,GSE114065
SRX2532706,CD4_T_cells,CD4_T_cells,GSE94396
SRX5162225,Monocytes,Monocytes,GSE124073
SRX3263461,CD8_T_cells,CD8_T_cells,GSE104744
SRX5294195,NK_cells,NK_cells,GSE125686
SRX4044588,CD4_T_cells,CD4_T_cells,GSE114065
SRX3410733,CD8_T_cells_PD1_low,CD8_T_cells,GSE100860
SRX4495368,Monocytes,Monocytes,GSE117970
SRX6727420,,Monocytes,GSE135902
SRX5358456,Non_plasma_B_cells,Non_plasma_B_cells,GSE126379
SRX5316066,Monocytes,Monocytes,GSE117970
SRX2947701,Myeloid_cells,Myeloid_cells,GSE100382
SRX1950690,,CD8_T_cells,GSE84445
SRX2271064,,CD4_T_cells,GSE89225
SRX5686017,CD4_T_cells,CD4_T_cells,GSE129829
SRX6404760,,Monocytes,GSE133822
SRX5686013,CD4_T_cells,CD4_T_cells,GSE129829
SRX4277199,CD4_T_cells,CD4_T_cells,GSE116073
SRX1921654,,PDC,GSE84204
SRX3889775,,B_cells,GSE103057
SRX5214055,CD4_T_cells,CD4_T_cells,GSE124757
SRX2200760,,CD8_T_cells,GSE87505
SRX5162175,Monocytes,Monocytes,GSE124073
ERX1973410,CD4_T_cells,CD4_T_cells,E-MTAB-5622
SRX3263462,CD8_T_cells,CD8_T_cells,GSE104744
SRX5686099,CD4_T_cells,CD4_T_cells,GSE129829
SRX7052840,,Neutrophils,GSE139358
SRX2953988,Non_plasma_B_cells,B_cells,GSE100441
SRX2323838,NK_cells,NK_cells,GSE89484
SRX1959643,Monocytes,Monocytes,GSE84531
SRX1130210,,CD4_T_cells,GSE71645
SRX6771551,Neutrophils,Neutrophils,GSE136632
SRX2481674,T_cells,T_cells,GSE93386
SRX5318309,Non_plasma_B_cells,Non_plasma_B_cells,GSE125974
SRX3184921,CD4_T_cells,CD4_T_cells,GSE103844
SRX2469634,Myeloid_cells,Myeloid_cells,GSE93265
SRX6404622,,CD8_T_cells,GSE133822
SRX3263408,CD4_T_cells,CD4_T_cells,GSE104744
SRX3049450,CD4_T_cells,CD4_T_cells,GSE102045
SRX4044520,CD4_T_cells,CD4_T_cells,GSE114065
ERX1819169,Tregs,CD4_T_cells,E-MTAB-5322
SRX3361930,Neutrophils,Neutrophils,GSE106520
SRX2635619,T_helpers,CD4_T_cells,GSE96538
SRX1897610,,Non_switched_memory_B_cells,GSE84022
SRX6727404,,Monocytes,GSE135902
SRX6404584,,CD8_T_cells,GSE133822
SRX2469654,Myeloid_cells,Myeloid_cells,GSE93265
SRX3100172,,CD4_T_cells,GSE102751
SRX2954000,Non_plasma_B_cells,B_cells,GSE100441
SRX680615,Monocytes,Monocytes,GSE60424
SRX2416666,,Granulocytes,GSE92293
SRX680596,CD4_T_cells,CD4_T_cells,GSE60424
SRX4161203,CD8_T_cells,CD8_T_cells,GSE115305
SRX5686031,CD4_T_cells,CD4_T_cells,GSE129829
ERX211555,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX4281647,,CD4_T_cells,GSE116139
SRX7052832,,Neutrophils,GSE139358
SRX3263480,CD8_T_cells,CD8_T_cells,GSE104744
SRX2271066,,CD4_T_cells,GSE89225
SRX2532723,CD4_T_cells,CD4_T_cells,GSE94396
SRX1837272,Non_plasma_B_cells,Non_plasma_B_cells,GSE81443
SRX6727426,,Monocytes,GSE135902
SRX1571010,NK_cells,NK_cells,GSE77808
SRX2558435,T_helpers,CD4_T_cells,GSE94859
SRX3263421,CD4_T_cells,CD4_T_cells,GSE104744
SRX5874331,Monocytes,Monocytes,GSE131552
SRX3263528,Monocytes,Monocytes,GSE104744
SRX2469638,Monocytes,Monocytes,GSE93265
SRX7052818,,Neutrophils,GSE139358
SRX2458655,,CD8_T_cells,GSE83637
SRX749885,CD4_T_cells,CD4_T_cells,GSE62920
SRX4377260,Neutrophils,Neutrophils,GSE116899
SRX3185049,CD4_T_cells,CD4_T_cells,GSE103844
SRX5799653,,CD4_T_cells,GSE130793
SRX2532724,CD4_T_cells,CD4_T_cells,GSE94396
SRX2875332,CD8_T_cells_PD1_high,CD8_T_cells,GSE99531
SRX1796106,CD4_T_cells,CD4_T_cells,GSE81810
SRX1130217,,CD4_T_cells,GSE71645
SRX2323841,NK_cells,NK_cells,GSE89484
SRX4012365,Myeloid_cells,Myeloid_cells,GSE113839
SRX3678143,CD4_T_cells,CD4_T_cells,GSE110417
SRX5686065,CD4_T_cells,CD4_T_cells,GSE129829
SRX6476481,CD4_T_cells,CD4_T_cells,GSE134555
SRX4797292,Neutrophils,Neutrophils,GSE112101
SRX5799671,,CD4_T_cells,GSE130793
SRX4978116,CD8_T_cells,CD8_T_cells,GSE122149
SRX3848496,CD4_T_cells,CD4_T_cells,GSE112341
SRX5423532,NK_cells,NK_cells,GSE127081
SRX3263412,CD4_T_cells,CD4_T_cells,GSE104744
SRX3049454,CD4_T_cells,CD4_T_cells,GSE102045
SRX5702680,,Monocytes,GSE129935
SRX2458658,,CD8_T_cells,GSE83637
SRX1871078,,CD8_T_cells,GSE83637
ERX211586,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX4505733,,CD4_T_cells,GSE118094
SRX6369371,,NK_cells,GSE133383
SRX4599900,CD4_T_cells,CD4_T_cells,GSE118951
SRX3263523,Monocytes,Monocytes,GSE104744
SRX4797306,CD4_T_cells,CD4_T_cells,GSE112101
SRX5294191,NK_cells,NK_cells,GSE125686
SRX5294196,NK_cells,NK_cells,GSE125686
ERX211554,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX4978124,CD8_T_cells,CD8_T_cells,GSE122149
SRX3049458,CD4_T_cells,CD4_T_cells,GSE102045
SRX5028412,T_helpers,CD4_T_cells,GSE122735
SRX4797308,CD4_T_cells,CD4_T_cells,GSE112101
SRX5162189,Monocytes,Monocytes,GSE124073
SRX3263524,Monocytes,Monocytes,GSE104744
SRX375704,CD4_T_cells,CD4_T_cells,GSE52260
SRX1634957,,PDC,GSE79272
ERX1958879,Non_plasma_B_cells,Non_plasma_B_cells,E-MTAB-5616
SRX3184984,CD4_T_cells,CD4_T_cells,GSE103844
SRX3862275,gd_T_Cells,T_cells,GSE112483
SRX5294202,NK_cells,NK_cells,GSE125686
SRX6369362,,NK_cells,GSE133383
SRX5572936,,CD4_T_cells,GSE128822
SRX4456886,CD4_T_cells,CD4_T_cells,GSE117655
SRX2965756,CD8_T_cells,CD8_T_cells,GSE100624
SRX6404776,,Monocytes,GSE133822
ERX211570,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX2532737,CD4_T_cells,CD4_T_cells,GSE94396
SRX5162236,Monocytes,Monocytes,GSE124073
SRX3263468,CD8_T_cells,CD8_T_cells,GSE104744
SRX4518782,Non_plasma_B_cells,B_cells,GSE118254
SRX2320884,CD4_T_cells,CD4_T_cells,GSE89404
SRX5806634,,CD4_T_cells,GSE130882
SRX3263498,Monocytes,Monocytes,GSE104744
SRX4495366,Monocytes,Monocytes,GSE117970
SRX3678139,CD4_T_cells,CD4_T_cells,GSE110417
SRX4277206,CD4_T_cells,CD4_T_cells,GSE116073
SRX2614903,CD4_T_cells,CD4_T_cells,GSE95754
SRX3184900,CD4_T_cells,CD4_T_cells,GSE103844
SRX680623,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX2558438,T_helpers,CD4_T_cells,GSE94859
SRX1959666,T_cells,T_cells,GSE84531
SRX4277210,CD4_T_cells,CD4_T_cells,GSE116073
SRX4044487,CD4_T_cells,CD4_T_cells,GSE114065
SRX2585755,CD4_T_cells,CD4_T_cells,GSE95297
ERX2283335,,CD8_T_cells,E-MTAB-6370
SRX6404785,,Monocytes,GSE133822
SRX3184963,CD4_T_cells,CD4_T_cells,GSE103844
SRX2875325,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX2875313,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX5162169,Monocytes,Monocytes,GSE124073
SRX3184953,CD4_T_cells,CD4_T_cells,GSE103844
SRX2875331,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX4416647,Tregs,CD4_T_cells,GSE117481
SRX2875324,CD8_T_cells,CD8_T_cells,GSE99531
SRX3680685,Tregs,CD4_T_cells,GSE110469
SRX2200767,,CD4_T_cells,GSE87505
ERX1958884,Non_plasma_B_cells,Non_plasma_B_cells,E-MTAB-5616
SRX4198452,T_cells,T_cells,GSE115686
SRX3464056,CD4_T_cells,CD4_T_cells,GSE107981
SRX372048,Non_plasma_B_cells,Non_plasma_B_cells,GSE51984
SRX4044469,CD4_T_cells,CD4_T_cells,GSE114065
ERX211575,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX2321310,,PDC,GSE89442
SRX5294175,NK_cells,NK_cells,GSE125686
SRX3184961,CD4_T_cells,CD4_T_cells,GSE103844
SRX3263409,CD4_T_cells,CD4_T_cells,GSE104744
SRX7052854,,Neutrophils,GSE139358
SRX2271063,,CD4_T_cells,GSE89225
SRX2458667,,CD8_T_cells,GSE83637
SRX5294171,NK_cells,NK_cells,GSE125686
SRX5686082,CD4_T_cells,CD4_T_cells,GSE129829
SRX3630249,CD4_T_cells,CD4_T_cells,GSE109843
SRX2271042,,CD4_T_cells,GSE89225
SRX1571038,NK_cells,NK_cells,GSE77808
SRX5294184,NK_cells,NK_cells,GSE125686
SRX7052860,,Neutrophils,GSE139358
SRX3263435,CD4_T_cells,CD4_T_cells,GSE104744
SRX3678145,CD4_T_cells,CD4_T_cells,GSE110417
ERX2283324,,CD4_T_cells,E-MTAB-6370
SRX6404631,,Monocytes,GSE133822
SRX6077945,Non_plasma_B_cells,B_cells,GSE132835
SRX4161200,CD8_T_cells,CD8_T_cells,GSE115305
SRX5624316,,T_cells,GSE129196
SRX3184997,CD4_T_cells,CD4_T_cells,GSE103844
SRX2635627,CD4_T_cells,CD4_T_cells,GSE96538
SRX2633222,CD4_T_cells,CD4_T_cells,GSE96075
SRX2585754,CD4_T_cells,CD4_T_cells,GSE95297
SRX3942983,T_cells,T_cells,GSE113194
SRX2458644,,CD8_T_cells,GSE83637
ERX211492,Myeloid_cells,Myeloid_cells,E-SYBR-2
SRX2378910,CD4_T_cells,CD4_T_cells,GSE90569
SRX3058217,,Granulocytes,GSE102215
SRX1903082,,Neutrophils,GSE84153
SRX1092548,Non_plasma_B_cells,B_cells,GSE70830
SRX5162232,Monocytes,Monocytes,GSE124073
SRX7053089,Tregs,CD4_T_cells,GSE139372
SRX4518772,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX5686075,CD4_T_cells,CD4_T_cells,GSE129829
SRX865115,CD4_T_cells,CD4_T_cells,GSE65621
SRX680576,CD4_T_cells,CD4_T_cells,GSE60424
SRX5316099,Monocytes,Monocytes,GSE117970
SRX3399238,NK_cells,NK_cells,GSE107011
SRX3184946,CD4_T_cells,CD4_T_cells,GSE103844
SRX5702704,,Monocytes,GSE129935
SRX6404660,,CD4_T_cells,GSE133822
SRX3058211,,Granulocytes,GSE102215
SRX1067712,Monocytes,Monocytes,GSE70106
SRX1272124,Neutrophils,Neutrophils,GSE73313
SRX4044570,CD4_T_cells,CD4_T_cells,GSE114065
SRX4996421,CD4_T_cells,CD4_T_cells,GSE122321
SRX4044575,CD4_T_cells,CD4_T_cells,GSE114065
SRX2558430,T_helpers,CD4_T_cells,GSE94859
SRX2532710,CD4_T_cells,CD4_T_cells,GSE94396
SRX3263417,CD4_T_cells,CD4_T_cells,GSE104744
SRX5806639,,CD4_T_cells,GSE130882
SRX2585455,B_cells,B_cells,GSE95282
ERX1819167,CD4_T_cells,CD4_T_cells,E-MTAB-5322
SRX4996425,CD4_T_cells,CD4_T_cells,GSE122321
SRX2200790,,CD8_T_cells,GSE87505
SRX5806663,,CD4_T_cells,GSE130882
SRX3889778,,B_cells,GSE103057
SRX3184959,CD4_T_cells,CD4_T_cells,GSE103844
SRX4620970,,CD4_T_cells,GSE119192
SRX5444138,,CD4_T_cells,GSE127457
SRX3361934,Neutrophils,Neutrophils,GSE106520
SRX3049465,CD4_T_cells,CD4_T_cells,GSE102045
SRX5686054,CD4_T_cells,CD4_T_cells,GSE129829
SRX2532732,CD4_T_cells,CD4_T_cells,GSE94396
SRX5806640,,CD4_T_cells,GSE130882
SRX3185028,CD4_T_cells,CD4_T_cells,GSE103844
SRX1871080,,CD8_T_cells,GSE83637
SRX4996426,CD4_T_cells,CD4_T_cells,GSE122321
SRX3630268,CD4_T_cells,CD4_T_cells,GSE109843
ERX211502,Myeloid_cells,Myeloid_cells,E-SYBR-2
SRX5686096,CD4_T_cells,CD4_T_cells,GSE129829
SRX5294185,NK_cells,NK_cells,GSE125686
SRX2532743,T_cells,T_cells,GSE94396
SRX6404729,,CD8_T_cells,GSE133822
SRX2953999,Non_plasma_B_cells,B_cells,GSE100441
SRX682484,CD4_T_cells,CD4_T_cells,GSE60482
SRX4075034,CD8_T_cells,CD8_T_cells,GSE114407
SRX5702684,,Monocytes,GSE129935
SRX7052831,,Neutrophils,GSE139358
SRX885289,B_cells,B_cells,GSE66117
SRX5686076,CD4_T_cells,CD4_T_cells,GSE129829
SRX5686012,CD4_T_cells,CD4_T_cells,GSE129829
SRX1601442,CD8_T_cells,CD8_T_cells,GSE78522
ERX556149,Non_plasma_B_cells,Non_plasma_B_cells,E-MTAB-2925
SRX5686040,CD4_T_cells,CD4_T_cells,GSE129829
SRX5600971,NK_cells,NK_cells,GSE129044
SRX2469641,Monocytes,Monocytes,GSE93265
SRX3058216,,Granulocytes,GSE102215
SRX2558451,T_helpers,CD4_T_cells,GSE94859
SRX1562196,Monocytes,Monocytes,GSE77598
SRX4277204,CD4_T_cells,CD4_T_cells,GSE116073
SRX2200782,,CD4_T_cells,GSE87505
SRX4978130,CD8_T_cells,CD8_T_cells,GSE122149
SRX6457020,,CD4_T_cells,GSE134416
SRX2378905,T_helpers,CD4_T_cells,GSE90569
SRX3263535,Monocytes,Monocytes,GSE104744
SRX3263504,Monocytes,Monocytes,GSE104744
SRX2532714,CD4_T_cells,CD4_T_cells,GSE94396
SRX6404678,,CD8_T_cells,GSE133822
SRX5806677,,CD4_T_cells,GSE130882
ERX2283325,,CD4_T_cells,E-MTAB-6370
SRX4456885,CD4_T_cells,CD4_T_cells,GSE117655
SRX4121367,CD4_T_cells,CD4_T_cells,GSE114883
SRX3263501,Monocytes,Monocytes,GSE104744
SRX6404626,,Monocytes,GSE133822
SRX5806657,,CD4_T_cells,GSE130882
SRX2321318,,PDC,GSE89442
SRX3185002,CD4_T_cells,CD4_T_cells,GSE103844
SRX5162218,Monocytes,Monocytes,GSE124073
SRX4150596,NK_cells,NK_cells,GSE115203
SRX5600978,NK_cells,NK_cells,GSE129044
SRX680603,CD4_T_cells,CD4_T_cells,GSE60424
SRX6404747,,Monocytes,GSE133822
SRX5162226,Monocytes,Monocytes,GSE124073
SRX5128310,Neutrophils,Neutrophils,GSE123785
SRX3464053,T_helpers,CD4_T_cells,GSE107981
SRX7052838,,Neutrophils,GSE139358
SRX4044523,CD4_T_cells,CD4_T_cells,GSE114065
SRX2200761,,CD8_T_cells,GSE87505
SRX2954007,Non_plasma_B_cells,B_cells,GSE100441
SRX1796105,CD4_T_cells,CD4_T_cells,GSE81810
SRX3733712,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110999
SRX3162876,T_cells,T_cells,GSE103537
SRX5162205,Monocytes,Monocytes,GSE124073
SRX680617,CD4_T_cells,CD4_T_cells,GSE60424
SRX3263424,CD4_T_cells,CD4_T_cells,GSE104744
SRX2200825,,CD8_T_cells,GSE87505
ERX211571,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX3263422,CD4_T_cells,CD4_T_cells,GSE104744
SRX3848480,CD4_T_cells,CD4_T_cells,GSE112341
SRX5444139,,CD4_T_cells,GSE127457
SRX2965749,CD8_T_cells,CD8_T_cells,GSE100624
SRX6680449,,CD8_T_cells,GSE135582
SRX3733719,Non_plasma_B_cells,Non_plasma_B_cells,GSE110999
SRX3184996,CD4_T_cells,CD4_T_cells,GSE103844
ERX211577,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX1903086,,Neutrophils,GSE84153
ERX2283333,,CD8_T_cells,E-MTAB-6370
SRX2271044,,CD4_T_cells,GSE89225
SRX3185047,CD4_T_cells,CD4_T_cells,GSE103844
SRX2953993,Non_plasma_B_cells,B_cells,GSE100441
SRX2965762,CD8_T_cells,CD8_T_cells,GSE100624
SRX4044479,CD4_T_cells,CD4_T_cells,GSE114065
SRX828386,Monocytes,Monocytes,GSE64655
SRX6404717,,CD8_T_cells,GSE133822
SRX4518722,Non_plasma_B_cells,B_cells,GSE118254
SRX3184936,CD4_T_cells,CD4_T_cells,GSE103844
SRX2953998,Non_plasma_B_cells,B_cells,GSE100441
SRX2458651,,CD8_T_cells,GSE83637
SRX3263456,CD8_T_cells,CD8_T_cells,GSE104744
SRX5316079,Monocytes,Monocytes,GSE117970
SRX2614899,CD4_T_cells,CD4_T_cells,GSE95754
SRX1950689,,CD4_T_cells,GSE84445
SRX5294226,NK_cells,NK_cells,GSE125686
SRX5686038,CD4_T_cells,CD4_T_cells,GSE129829
SRX2875323,CD8_T_cells_PD1_high,CD8_T_cells,GSE99531
SRX4044471,CD4_T_cells,CD4_T_cells,GSE114065
SRX3678134,CD4_T_cells,CD4_T_cells,GSE110417
SRX4518763,Non_plasma_B_cells,B_cells,GSE118254
SRX3464052,T_helpers,CD4_T_cells,GSE107981
